epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.102,0.93146,3.31755,1.23191,0.31868,0.20766,0.25083,0.1809,0.8367,3.00396,1.16586,0.000253004,0.000253004,0.000253004
2,751.675,1.02768,2.6605,1.33641,0.50367,0.43495,0.44106,0.29651,1.05117,2.65573,1.3414,0.000499253,0.000499253,0.000499253
3,879.151,1.0928,2.38822,1.35847,0.33998,0.61125,0.42955,0.27174,1.05188,2.67638,1.36244,0.00073535,0.00073535,0.00073535
4,1004.36,1.09676,2.26987,1.36326,0.39521,0.56587,0.44405,0.26673,1.21315,2.42285,1.54033,0.000723321,0.000723321,0.000723321
5,1130.48,1.07729,2.16992,1.33537,0.46069,0.51963,0.52117,0.33546,1.17562,2.63494,1.51888,0.000708095,0.000708095,0.000708095
6,1244.72,1.08143,2.0115,1.32274,0.64533,0.55155,0.62093,0.40206,1.13038,2.03207,1.37418,0.000692869,0.000692869,0.000692869
7,1352.59,1.06162,2.00168,1.31343,0.51947,0.62681,0.62307,0.40641,1.11489,1.93751,1.35851,0.000677643,0.000677643,0.000677643
8,1462.22,1.05815,1.86462,1.3012,0.62461,0.64924,0.71199,0.47949,1.0134,1.89228,1.3006,0.000662417,0.000662417,0.000662417
9,1578.62,0.96914,1.72343,1.24436,0.63972,0.54452,0.60862,0.41219,1.02721,1.84951,1.31583,0.00064719,0.00064719,0.00064719
10,1681.81,0.97653,1.70195,1.25144,0.78827,0.64108,0.76115,0.52658,1.00224,1.57198,1.27124,0.000631964,0.000631964,0.000631964
11,3349.55,0.98116,1.73236,1.24899,0.68011,0.74386,0.78868,0.54764,0.95901,1.56446,1.26061,0.000616738,0.000616738,0.000616738
12,3555.23,0.96903,1.66665,1.25083,0.67217,0.71609,0.77252,0.53125,1.04055,1.55069,1.34706,0.000601512,0.000601512,0.000601512
13,3683.42,0.94098,1.55298,1.22976,0.61458,0.75159,0.73,0.50097,0.98755,1.55386,1.26201,0.000586286,0.000586286,0.000586286
14,4118.26,0.94752,1.53032,1.23815,0.72949,0.6972,0.78047,0.54182,1.0181,1.46976,1.32647,0.000571059,0.000571059,0.000571059
